INFO:root:{'frame': 93.0, 'userFlag': 1, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 94.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 95.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 96.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 97.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 98.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 99.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 100.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 101.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 102.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 103.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 104.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 105.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 106.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 107.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 108.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 109.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 110.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 111.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 112.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 113.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 114.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 115.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 116.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
INFO:root:{'frame': 117.0, 'userFlag': 0, 'tracker': 'csrt', 'initBB': '(199, 51, 60, 39)'}
